"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"89","Bernie Harris","PF","24","BUF","11","25","3.6",".210",".182","8.5","23.5","16.3","4.9","0.0","2.0","-0.1","0.0","-0.1","-0.190","-4.7","-0.6","-5.3","-0.1"
"90","Clem Haskins","SG","31","WSB","70","702","11.8",".445",".217","4.1","7.3","5.7","15.3","1.5","0.5","0.0","0.9","1.0",".065","-2.0","0.0","-2.0","0.0"
"91","John Havlicek*","SF","34","BOS","82","3132","16.7",".505",".235","4.9","10.4","7.7","19.6","1.6","0.3","5.9","3.8","9.7",".149","1.4","0.3","1.7","2.9"
"92","Steve Hawes","C","24","HOU","55","897","16.7",".536",".197","9.9","24.4","17.1","13.7","1.9","2.2","1.3","1.2","2.5",".132","1.2","1.2","2.4","1.0"
"93","Connie Hawkins*","PF","32","LAL","43","1026","13.0",".471",".306","5.1","13.3","9.2","16.2","2.2","1.1","0.2","0.9","1.1",".054","-1.3","0.7","-0.6","0.4"
"94","Nate Hawthorne","SG","25","PHO","50","618","13.3",".452",".328","5.6","9.8","7.6","9.5","2.2","1.8","-0.2","0.6","0.5",".035","-2.2","0.0","-2.2","0.0"
"95","Elvin Hayes*","PF","29","WSB","82","3465","19.0",".496",".320","6.4","22.7","14.5","8.7","2.1","2.9","4.3","8.2","12.5",".173","1.6","1.7","3.3","4.6"
"96","Spencer Haywood*","PF","25","SEA","68","2529","19.0",".511",".288","8.0","17.6","12.8","8.5","1.0","2.2","4.6","2.6","7.3",".138","2.2","-1.0","1.3","2.1"
"97","Gar Heard","PF","26","BUF","67","2148","13.6",".411",".230","9.1","21.9","15.8","11.8","2.2","2.8","-1.6","3.6","2.1",".046","-1.8","1.3","-0.5","0.8"
"98","Tom Henderson","PG","23","ATL","79","2131","13.8",".451",".270","2.2","7.8","4.9","21.3","2.2","0.2","1.0","1.4","2.4",".054","-0.7","-0.3","-1.0","0.5"
"99","Bill Hewitt","PF","30","CHI","18","467","10.3",".453",".178","6.8","19.3","13.1","7.6","0.9","1.2","0.1","0.7","0.8",".081","-1.7","0.3","-1.4","0.1"
"100","Lou Hudson*","SG","30","ATL","11","380","17.4",".484",".253","3.4","9.0","6.0","17.3","1.5","0.3","0.6","0.2","0.8",".100","1.4","-1.0","0.5","0.2"
"101","John Hummer","PF","26","SEA","43","568","5.6",".368",".472","5.0","13.8","9.4","8.3","0.6","0.6","-0.7","0.4","-0.3","-0.027","-4.1","-0.7","-4.8","-0.4"
"102","Greg Jackson","SG","22","TOT","49","802","7.6",".448",".352","2.4","6.5","4.4","15.7","1.3","0.6","-0.5","0.4","-0.1","-0.005","-4.6","0.0","-4.6","-0.6"
"102","Greg Jackson","SG","22","NYK","5","27","6.7",".400",".000","7.6","0.0","3.9","15.8","0.0","0.0","0.0","0.0","0.0","-0.040","-4.2","-0.5","-4.7","0.0"
"102","Greg Jackson","SG","22","PHO","44","775","7.6",".450",".373","2.2","6.7","4.4","15.7","1.4","0.6","-0.5","0.4","-0.1","-0.003","-4.7","0.0","-4.6","-0.5"
"103","Phil Jackson*","PF","29","NYK","78","2285","13.7",".511",".355","6.2","21.5","13.7","8.4","1.7","1.2","1.9","2.9","4.8",".102","-1.2","0.8","-0.4","0.9"
"104","Wardell Jackson","SF","23","SEA","56","939","7.0",".445",".293","5.8","8.8","7.3","4.1","1.3","0.3","-0.2","0.5","0.3",".015","-3.9","-1.0","-4.9","-0.7"
"105","Aaron James","SF","22","NOJ","76","1731","14.4",".516",".244","7.8","13.5","10.6","6.1","1.0","0.5","1.8","1.1","2.9",".080","-0.6","-1.6","-2.2","-0.1"
"106","Charles Johnson","SG","25","GSW","79","2171","12.8",".431",".107","6.0","8.0","7.0","14.2","2.8","0.2","0.5","2.0","2.4",".054","-1.4","-0.1","-1.5","0.3"
"107","George Johnson","C","26","GSW","82","1439","14.4",".507",".285","14.6","24.3","19.5","5.6","1.0","4.9","1.3","2.3","3.6",".121","-0.6","0.9","0.3","0.8"
"108","John Johnson","SF","27","POR","80","2540","16.7",".531",".278","7.0","13.4","10.3","14.5","1.4","0.8","4.0","2.2","6.2",".116","1.4","-0.8","0.6","1.7"
"109","Mickey Johnson","PF","22","CHI","38","291","17.6",".498",".492","11.6","22.3","17.0","11.2","1.7","2.1","0.1","0.6","0.7",".117","-2.0","0.5","-1.5","0.1"
"110","Ollie Johnson","SF","25","TOT","73","1667","10.9",".523",".266","5.2","9.7","7.4","9.3","1.6","1.1","1.4","1.2","2.6",".075","-1.1","0.2","-0.9","0.5"
"110","Ollie Johnson","SF","25","NOJ","43","1159","10.8",".511",".258","5.0","10.5","7.7","9.6","1.6","0.9","0.8","0.8","1.6",".065","-1.1","0.2","-1.0","0.3"
"110","Ollie Johnson","SF","25","KCO","30","508","11.3",".550",".285","5.5","8.0","6.7","8.4","1.5","1.4","0.6","0.4","1.0",".098","-1.2","0.4","-0.7","0.2"
"111","Dwight Jones","C","22","ATL","75","2086","14.4",".467",".243","10.4","22.9","16.3","10.3","1.1","1.3","1.7","2.2","3.9",".090","-0.1","-0.4","-0.4","0.8"
"112","Jimmy Jones","PG","30","WSB","73","1424","13.2",".559",".355","2.5","7.1","4.8","15.1","2.4","0.4","1.8","2.2","4.1",".137","-1.6","1.9","0.3","0.8"
"113","Bob Kauffman","PF","28","ATL","73","797","12.6",".478",".322","7.8","15.0","11.1","14.1","1.1","0.3","0.7","0.5","1.2",".071","-0.7","-0.6","-1.3","0.1"
"114","Frank Kendrick","SF","24","GSW","24","121","20.3",".461",".286","15.2","13.8","14.5","7.3","4.1","1.3","0.1","0.2","0.3",".119","-2.0","-0.2","-2.3","0.0"
"115","Toby Kimball","PF","32","NOJ","3","90","7.3",".383",".304","8.6","20.7","14.5","5.9","1.0","0.0","-0.1","0.1","0.0","-0.012","-3.3","-0.5","-3.8","-0.1"
"116","Don Kojis","SF","36","KCO","21","232","14.2",".504",".306","6.3","11.2","8.7","6.9","2.4","0.2","0.2","0.3","0.5",".096","-1.6","-0.1","-1.6","0.0"
